date (:DateTime),GPP (μmol / m^2 / s),Tair (K),RH,Pressure (kPa),wind_speed (m / s),SWdn (W / m^2),SWup (W / m^2),LWdn (W / m^2),LWup (W / m^2)
2015-04-16T00:15:00,2.872,276.31,0.6254,87.93,1.99,0,0,226.77,306.7
2015-04-16T00:45:00,2.853,276.21,0.6282,87.92,2.05,0,0,227.5,307.37
2015-04-16T01:15:00,2.835,275.98,0.636,87.9,1.48,0,0,224.43,304.3
2015-04-16T01:45:00,2.816,275.86,0.6446,87.88,1.39,0,0,225.17,304.4
2015-04-16T02:15:00,2.797,275.66,0.6573,87.87,0.83,0,0,226.17,305.3
2015-04-16T02:45:00,2.778,275.66,0.6568,87.87,1.2,0,0,226.3,305.13
2015-04-16T03:15:00,2.76,275.8,0.6479,87.87,1.66,0,0,226.23,304.33
2015-04-16T03:45:00,2.743,275.63,0.6459,87.86,1.3,0,0,225.57,303.73
2015-04-16T04:15:00,2.727,275.63,0.643,87.85,0.36,0,0,225.6,304.07
2015-04-16T04:45:00,2.711,275.98,0.5807,87.84,0.25,0,0,225.93,303.67
2015-04-16T05:15:00,0.536,276.22,0.5165,87.84,0.21,0,0,225.87,303.67
2015-04-16T05:45:00,-0.339,276.16,0.48560000000000003,87.85,1.43,49.893,15.553,225.2,304.83
2015-04-16T06:15:00,-2.004,275.98,0.5102,87.86,1.12,132.43,26.037,224.87,310.1
2015-04-16T06:45:00,-2.671,276.48,0.4714,87.88,1.38,231.5,33.643,226.3,318.57
2015-04-16T07:15:00,-7.194,277.1,0.4436,87.88,0.99,335.97,40.16,228.5,327.33
2015-04-16T07:45:00,-3.9,277.69,0.4263,87.88,1.26,439.77,48.643,230.97,336
2015-04-16T08:15:00,-5.182,278.37,0.3981,87.88,1.6,537.23,57.377,233.1,342.5
2015-04-16T08:45:00,-6.04,278.77,0.3865,87.87,2.05,630.07,71.58,234.7,347.3
2015-04-16T09:15:00,-7.259,279.55,0.3843,87.87,2.41,711.63,78.023,237.57,353.7
2015-04-16T09:45:00,-7.202,280.03,0.3605,87.86,2.29,780.27,78.517,240.07,360.13
2015-04-16T10:15:00,-9.904,280.74,0.3532,87.85,2.12,836,78.727,242.6,365.7
2015-04-16T10:45:00,-8.86,281.46,0.34149999999999997,87.84,2.38,879.33,79.333,245.33,371.67
2015-04-16T11:15:00,-6.606,282.27,0.32159999999999994,87.82,2.41,908,79.163,248.93,377.93
2015-04-16T11:45:00,-9.174,283.05,0.282,87.8,2.69,918.33,80.433,249.83,383.03
2015-04-16T12:15:00,-9.124,283.55,0.2521,87.78,2.39,919.67,79.877,250.77,386.07
2015-04-16T12:45:00,-6.057,283.84,0.2418,87.76,2.96,903.33,78.823,251.7,387.03
2015-04-16T13:15:00,-6.54,284.57,0.2397,87.75,2.74,873.33,77.45,253.67,389.8
2015-04-16T13:45:00,-7.024,284.91,0.2359,87.72,2.64,825,73.77,254.67,391.07
2015-04-16T14:15:00,-6.482,285.53,0.22149999999999997,87.71,2.79,764.8,71.203,255.47,391.83
2015-04-16T14:45:00,-5.581,285.54,0.2109,87.69,3.02,697.73,68.777,254.53,390.7
2015-04-16T15:15:00,-4.486,285.53,0.22039999999999998,87.67,3.81,616.57,64.12,253.97,387.1
2015-04-16T15:45:00,-5.483,285.76,0.2515,87.66,3.4,525.73,57.38,255.07,385.33
2015-04-16T16:15:00,-2.975,285.73,0.26,87.65,3.29,424.67,49.8,253.6,381.7
2015-04-16T16:45:00,-2.72,285.53,0.2728,87.63,3.56,269.53,45.177,252.63,377.6
2015-04-16T17:15:00,-1.534,285.21,0.2894,87.61,4.08,80.267,37.237,250.87,373.17
2015-04-16T17:45:00,-0.564,284.89,0.2979,87.61,3.39,61.597,29.45,249.43,367.6
2015-04-16T18:15:00,0.572,284.38,0.3096,87.6,3.08,45.367,14.593,248.6,361.97
